Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2010 [YR2010],2015 [YR2015]
Bhutan,BTN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,30.0673522036099,32.3754401959006,34.1548043850168
Bolivia,BOL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.8745179837807,88.5552228681676,92.8816263578936
Bolivia,BOL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bosnia and Herzegovina,BIH,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.7164056455155,97.2805522208584,97.6601861252389
Bosnia and Herzegovina,BIH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,87.7123399819949,88.2184513886314,88.575493099588
Botswana,BWA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,77.8462713751684,78.560626273259,79.1739852456857
Botswana,BWA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Brazil,BRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.0570181678085,96.2580782543772,97.4979425710048
Brazil,BRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
British Virgin Islands,VGB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.2034246575344,99.1041095890412,99.8643835616439
British Virgin Islands,VGB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Brunei Darussalam,BRN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,99.50306,99.513212
Brunei Darussalam,BRN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Bulgaria,BGR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.6627708904527,99.4327692746251,99.2556350774102
Bulgaria,BGR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.1323687134955,96.9082067565916,96.5516131546263
Burkina Faso,BFA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,48.7980090719148,51.2903639759554,53.85759551611
Burkina Faso,BFA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Burundi,BDI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,53.5763495174029,54.7896359589192,55.9341198142855
Burundi,BDI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Cabo Verde,CPV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,79.8929500811443,83.5067962654317,86.4593527322802
Cabo Verde,CPV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Cambodia,KHM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,59.8980001120225,67.401310380331,74.9707956520782
Cambodia,KHM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,19.2003178818716,21.5804366929379,24.0987927544098
Cameroon,CMR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,58.7392367924678,62.0757945193602,65.2799662849759
Cameroon,CMR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Canada,CAN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9,99.4,98.9
Canada,CAN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Caribbean small states,CSS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.6988314245563,94.1335881593339,95.0202462082857
Caribbean small states,CSS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Cayman Islands,CYM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.125,96.125,96.125
Cayman Islands,CYM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Central African Republic,CAF,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,52.7604395974352,53.5357884472993,54.1438602913517
Central African Republic,CAF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Central Europe and the Baltics,CEB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.7674555131094,98.8520441944149,98.9156443882888
Central Europe and the Baltics,CEB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,90.1691615914942,91.0947177213514,91.5708297952143
Chad,TCD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,40.1233948993816,41.2568256346417,42.5376044742954
Chad,TCD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Channel Islands,CHI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,94.15,94.15
Channel Islands,CHI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,91.975,91.975
Chile,CHL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.2872886236234,99.0231524339075,100
Chile,CHL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,94.5841319248848,97.2015533872266,98.1540973070538
China,CHN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,84.2985434215533,90.8496546254343,95.8180286239851
China,CHN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Colombia,COL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.3905641927468,94.5915792213975,96.5220296857553
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,69.2413932203866,70.3686684359798,71.1226222625859
Comoros,COM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,85.415740357336,84.4368258277149,83.7011875895908
Comoros,COM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
"Congo, Dem. Rep.",COD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,36.8520593553105,39.342637993612,41.8379936166031
"Congo, Dem. Rep.",COD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
"Congo, Rep.",COG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,59.7465292390349,64.2211994760015,68.3404568683904
"Congo, Rep.",COG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,31.6018823757301,34.5278871356306,37.0016140327827
Costa Rica,CRI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.408372276033,98.3732423015119,99.6978166775
Costa Rica,CRI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,78.7148876928109,86.758591926402,89.80124
Cote d'Ivoire,CIV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,72.1254505234304,72.5823580368371,73.0574155684606
Cote d'Ivoire,CIV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,39.744149115193,42.9573912714351,45.8016327562419
Croatia,HRV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.8904975555555,99.2889934444444,99.5859008888889
Croatia,HRV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,91.6958728495324,92.6398862605008,90.4517514548998
Cuba,CUB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,93.8132556604411,94.5085123451703,95.1755060166156
Cuba,CUB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Curacao,CUW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,99.3727452154089,99.3727452154089
Curacao,CUW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Cyprus,CYP,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Cyprus,CYP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,96.473275862069,98.0379310344828,99.6025862068966
Czech Republic,CZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.8282001096705,99.8565977380232,99.8796801882532
Czech Republic,CZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,96.7916665004108,97.3921282761952,97.5801480117469
Denmark,DNK,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Denmark,DNK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,94.4561494252875,96.0130459770116,96.735564
Djibouti,DJI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,75.5723506841863,76.2989713030894,76.9224836211744
Djibouti,DJI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Dominica,DMA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.85,96.225,96.5
Dominica,DMA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Dominican Republic,DOM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,92.3497162658955,93.5281091367248,94.4770735981847
Dominican Republic,DOM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Early-demographic dividend,EAR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.103169463719,85.4733006248224,87.6198812156771
Early-demographic dividend,EAR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
East Asia & Pacific,EAS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,85.031109887253,90.0402520398227,94.0294023926671
East Asia & Pacific,EAS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
East Asia & Pacific (excluding high income),EAP,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.4937805410301,89.0476609670777,93.4580190889193
East Asia & Pacific (excluding high income),EAP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,83.2849822666865,88.9133417711773,93.3807648496129
East Asia & Pacific (IDA & IBRD countries),TEA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Ecuador,ECU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,86.3187911829352,89.46324875825,92.609932220147
Ecuador,ECU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,69.0882481316698,71.7149050645909,74.360781870586
"Egypt, Arab Rep.",EGY,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.2783269446388,98.3168775678704,98.3574991600019
"Egypt, Arab Rep.",EGY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
El Salvador,SLV,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,84.451599372579,89.0864669935351,93.0130709637454
El Salvador,SLV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Equatorial Guinea,GNQ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,48.9801158635531,49.197735242551,49.5900848781192
Equatorial Guinea,GNQ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Eritrea,ERI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,17.3776947200625,18.139966368,19.290330471875
Eritrea,ERI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Estonia,EST,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.3006080819304,99.472284093737,99.6145048645163
Estonia,EST,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,94.3516978541158,89.0605828479151,81.6905798272931
Eswatini,SWZ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,57.2009962515437,62.3315903987914,67.6260887692688
Eswatini,SWZ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Ethiopia,ETH,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,24.0156326146096,31.536170618882,39.1242615806378
Ethiopia,ETH,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,6.07931861178964,7.92487177501881,10.5354226672548
Euro area,EMU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.783451557055,99.8628134233212,99.9062153778167
Euro area,EMU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,95.3907747087821,96.1134107646567,96.4101702635113
Europe & Central Asia,ECS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.1658056345374,97.5519512141184,98.0985814148114
Europe & Central Asia,ECS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,87.62,88.94,90.78
Europe & Central Asia (excluding high income),ECA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.0896189440953,94.8639306714235,95.9073732226018
Europe & Central Asia (excluding high income),ECA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,72.3072307866091,75.2258016323749,79.4925287928139
Europe & Central Asia (IDA & IBRD countries),TEC,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.4751981114233,95.1701531875467,96.1234135432218
Europe & Central Asia (IDA & IBRD countries),TEC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,74.9036948373169,77.464194879118,81.3226040640254
European Union,EUU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.6770739272673,99.732225684075,99.7632349310963
European Union,EUU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,94.6172972333829,95.2572513289145,95.5122999707514
Faroe Islands,FRO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Faroe Islands,FRO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Fiji,FJI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.4413764379694,94.0733098029441,93.7124471242058
Fiji,FJI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Finland,FIN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Finland,FIN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,95.3325846776743,98.0723914285714,96.8509991428571
Fragile and conflict affected situations,FCS,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,53.5587713328608,58.4705407944601,62.170177789128
Fragile and conflict affected situations,FCS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
France,FRA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9417854545454,99.9842509090909,100
France,FRA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,93.2712088636364,93.3043377272727,93.31264
French Polynesia,PYF,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
French Polynesia,PYF,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Gabon,GAB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,82.4502838797894,85.2908442855442,87.5409219903643
Gabon,GAB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
"Gambia, The",GMB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,76.0094030236202,78.0874397127558,80.0585980182389
"Gambia, The",GMB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Georgia,GEO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,90.0617242168667,91.6523045291208,93.2635269362499
Georgia,GEO,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,75.9915519103056,73.598539552667,72.9704824273645
Germany,DEU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Germany,DEU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.35,99.35,99.2154214
Ghana,GHA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,69.0206604594312,73.5083998950932,77.7993023643858
Ghana,GHA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,18.9514374879345,22.7717307847052,26.8649162825756
Gibraltar,GIB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.6182703698829,99.6182703698829,99.6182703698829
Gibraltar,GIB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.052257470054,99.052257470054,99.052257470054
Greece,GRC,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.6586719374139,99.9081286095243,100
Greece,GRC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.7451429603911,98.899104427582,98.8957731329526
Greenland,GRL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Greenland,GRL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,94.4561494252874,96.0130459770116,96.749204
Grenada,GRD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.4692126571641,95.6307875050065,95.6286504435547
Grenada,GRD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Guam,GUM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.523,99.646,99.6952
Guam,GUM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Guatemala,GTM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,88.2876206005045,91.0012022229409,93.5976974703343
Guatemala,GTM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,53.6446507195252,57.1957409647305,60.8189673207422
Guinea,GIN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,58.7325164553333,63.0261674048291,67.3725473160771
Guinea,GIN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Guinea-Bissau,GNB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,58.2952160151468,63.8052235693397,69.1966086274814
Guinea-Bissau,GNB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Guyana,GUY,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,90.3990916164478,92.5549850146941,95.0713229920073
Guyana,GUY,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Haiti,HTI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,59.488008302127,62.1081730259302,64.1743189771298
Haiti,HTI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Heavily indebted poor countries (HIPC),HPC,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,45.0863270375765,49.9747024284105,54.8344578914385
Heavily indebted poor countries (HIPC),HPC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
High income,HIC,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.1720722096901,99.329383721849,99.4431495009468
High income,HIC,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,96.67,97.26,97.53
Honduras,HND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,85.7257165948622,89.0668133738441,92.1787210188606
Honduras,HND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
"Hong Kong SAR, China",HKG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.1632142857143,99.6551785714286,100
"Hong Kong SAR, China",HKG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.7431586311362,99.4789309193299,100
Hungary,HUN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.9663621291521,99.9688775437968,99.9712522740424
Hungary,HUN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,57.1746465450318,69.3579615187765,81.5417747831721
IBRD only,IBD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,86.2125135492044,89.6573800146255,92.5264369752321
IBRD only,IBD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Iceland,ISL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Iceland,ISL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,92.6600000000001,95.7827272727272,98.2809090909091
IDA & IBRD total,IBT,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,80.7308918273686,83.893914284952,86.469451149589
IDA & IBRD total,IBT,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
IDA blend,IDB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,70.3958931636518,73.2694276827408,74.8542425500103
IDA blend,IDB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,30.932248459963,30.7089473977723,28.407904868972
IDA only,IDX,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,57.3004839366177,60.9842769378298,64.2906874756861
IDA only,IDX,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
IDA total,IDA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,61.7389621418267,65.1595516903948,67.7267182291155
IDA total,IDA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
India,IND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,82.87767451937,85.2629116139574,87.5591401561859
India,IND,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Indonesia,IDN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,79.7867460310093,84.7854194506465,89.5240304134351
Indonesia,IDN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
"Iran, Islamic Rep.",IRN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,95.2249150035314,95.0776828640349,94.8661997321043
"Iran, Islamic Rep.",IRN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,91.4940904234512,91.4748615018852,91.3801432310782
Iraq,IRQ,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,78.8863802967988,82.5026938369793,86.0983305505267
Iraq,IRQ,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..
Ireland,IRL,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,97.0901621427541,98.1053756784395,98.9216390946667
Ireland,IRL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,94.2570158978132,96.8083672577987,98.8752877857429
Isle of Man,IMN,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,96.2599681020734
Isle of Man,IMN,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,96.2599681020734
Israel,ISR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Israel,ISR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.39,99.39,99.39
Italy,ITA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100
Italy,ITA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,89.3110700132102,92.157040951123,93.678679245283
Jamaica,JAM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.5515587266281,92.3041153852628,92.9185463575638
